source,target;;;;
 urea, PT Petrokimia Gresik;;;;
 urea, PT Pupuk Kujang;;;;
 urea, PT Pupuk Isandar Muda;;;;
urea, PT Pupuk Kaltim;;;;
 urea, PT Pupuk Sriwidjaja Palembang;;;;
 SP-36,PT Petrokimia Gresik;;;;
 SP-36, PT Pupuk Kujang;;;;
 SP-36, PT Pupuk Kaltim;;;;
 SP-36 PT Pupuk Isandar Muda;;;;
 SP-36, PT Pupuk Sriwidjaja Palembang;;;;s
 ZA, PT Petrokimia Gresik;;;;
 ZA, PT Pupuk Kujang;;;;
 ZA, PT Pupuk Kaltim;;;;
 phonska, PT Pupuk Kujang;;;;
 phonska, PT Pupuk Kaltim;;;;
 phonska PT Pupuk Isandar Muda;;;;
 NPK, PT Petrokimia Gresik;;;;
 NPK ,PT Pupuk Kujang;;;;
 NPK, PT Pupuk Kaltim;;;;
 NPK, PT Pupuk Sriwidjaja Palembang;;;;
